ID,title,organiser,blurb,description,guid,activity_or_event,url,is_free,price_display_teaser,price_display,price,min_price,max_price,age_group_display,min_age,max_age,datetime_display_teaser,datetime_display,start_datetime,end_datetime,venue_name,address_display,categories,images,longitude,latitude,checked,region,planning_area,label tag,keyword tag
225,The Artground at Goodman Arts Centre - Lost Islands,The Artground,"Arts space for families to discover, learn, be curious.","The Artground is an accessible arts space where families can feel at ease, spend time, discover, learn, and be curious. It opens its doors to different communities, providing positive experiences to enrich and brighten their day. The space is sanitised and reset between each time-slot. Pre-booking tickets is recommended, though walk-ins are allowed if slots are available. The venue is closed to the public during weekday morning school excursions, selected public holidays, and private events. Admission charges apply, with different rates for weekdays and weekends/public holidays/school holidays. CHAS card holders enjoy free admission.",https://www.theartground.com.sg/,event,https://www.theartground.com.sg/,TRUE,Free + Paid options,From $5 - $8 (Free for Blue and Orange CHAS card holders),5,5,8,Suitable for all ages,0,99,19 Apr - 29 Mar,"19 Apr 2025 - 29 Mar 2026, 9.15am – 6pm (Closed on selected Public Holidays)",2025-04-19T09:15:00,2026-03-29T18:00:00,Goodman Arts Centre,"90 Goodman Rd, #01-40 BLK J, Singapore 439053","Attraction, Indoor Playground","[{""local_path"": ""events_output/event_1/images/user_uploads/The_Artground_at_Goodman_Arts_Centre_Venue_1.jpg"", ""filename"": ""The_Artground_at_Goodman_Arts_Centre_Venue_1.jpg"", ""original_url"": ""https://www.theartground.com.sg/visit-us/goodman-arts-centre"", ""source_credit"": ""theartground""}, {""local_path"": ""events_output/event_1/images/user_uploads/The_Artground_at_Goodman_Arts_Centre_Venue_2.jpg"", ""filename"": ""The_Artground_at_Goodman_Arts_Centre_Venue_2.jpg"", ""original_url"": ""https://www.theartground.com.sg/visit-us/goodman-arts-centre"", ""source_credit"": ""theartground""}]",103.8853019,1.3036295,TRUE,Central Region,Marine Parade,,"museum, indoor, kid, play"
226,The Artground at One Holland Village - A Curious Garden,The Artground,"Arts space for families to discover, learn, be curious.","The Artground is an accessible arts space where families can feel at ease, spend time, discover, learn, and be curious. It opens its doors to different communities, providing positive experiences to enrich and brighten their day. The space is sanitised and reset between each time-slot. Pre-booking tickets is recommended, though walk-ins are allowed if slots are available. The venue is closed to the public during weekday morning school excursions, selected public holidays, and private events. Admission charges apply, with different rates for weekdays and weekends/public holidays/school holidays. CHAS card holders enjoy free admission.",https://www.theartground.com.sg/,event,https://www.theartground.com.sg/,TRUE,Free + Paid options,From $5 - $10 (Free for Blue and Orange CHAS card holders),5,5,10,Suitable for all ages,0,99,08 Dec - 31 Dec,"08 Dec 2023 - 31 Dec 2025, 9.15am - 6pm (Closed on selected Public Holidays)",2023-12-08T09:15:00,2025-12-31T18:00:00,One Holland Village,"7 Holland Vlg Wy, #01-20, Singapore 275748","Attraction, Indoor Playground","[{""local_path"": ""events_output/event_2/images/user_uploads/The_Artground_at_One_Holland_Village_Venue_1.jpeg"", ""filename"": ""The_Artground_at_One_Holland_Village_Venue_1.jpeg"", ""original_url"": ""https://www.theartground.com.sg/visit-us/one-holland-village"", ""source_credit"": ""theartground""}, {""local_path"": ""events_output/event_2/images/user_uploads/The_Artground_at_One_Holland_Village_Venue_2.png"", ""filename"": ""The_Artground_at_One_Holland_Village_Venue_2.png"", ""original_url"": ""https://www.theartground.com.sg/visit-us/one-holland-village"", ""source_credit"": ""theartground""}, {""local_path"": ""events_output/event_2/images/user_uploads/The_Artground_at_One_Holland_Village_Venue_3.jpeg"", ""filename"": ""The_Artground_at_One_Holland_Village_Venue_3.jpeg"", ""original_url"": ""https://www.theartground.com.sg/visit-us/one-holland-village"", ""source_credit"": ""theartground""}]",103.7937223,1.3114782,TRUE,Central Region,Queenstown,,"museum, indoor, kid, play"
227,Wild Wonders @ Bird Paradise Adventure,Mandai Wildlife Reserve,Feathered Mystery Adventure at Bird Paradise awaits!,"Unleash your child’s inner wildlife detective as they hunt clues, meet amazing birds, and discover surprising connections between birds and humans - all in a fun, interactive game at Bird Paradise! This family-friendly adventure encourages exploration and learning about the avian world. Children will engage in activities that promote observation skills and problem-solving. The experience is designed to be both educational and entertaining, making it a memorable outing for families. Discover the wonders of birds and their relationship with humans through this interactive adventure.",https://zooschool.mandai.com/programme/wild-wonders-bird-paradise-154,event,https://zooschool.mandai.com/programme/wild-wonders-bird-paradise-154,FALSE,From $70,$70,70,70,70,5 to 12 years old,5,12,Recurring Fri,"17, 24, 31 Oct 2025, 3:30 - 5:30pm",2025-10-17T15:30:00,2025-10-31T17:30:00,Bird Paradise,"20 Mandai Lake Rd, Singapore 729825",Attraction,"[{""url"": ""https://mandai-s3-bucket-live.s3.ap-southeast-1.amazonaws.com/ClassImages/1754378874685_banner.jpg"", ""source_credit"": ""Mandai Wildlife Reserve""}, {""url"": ""https://mandai-s3-bucket-live.s3.ap-southeast-1.amazonaws.com/ProgrammeHighlight/154/1754381911591.jpg"", ""source_credit"": ""Mandai Wildlife Reserve""}]",103.7812684,1.4071539,TRUE,North Region,Central Water Catchment,,"bird, nature, zoo, wildlife, safari, animals"
228,Singapore Zoo: Wildlife Access and Family Fun,Mandai Wildlife Group,Enjoy wildlife access with savings for the family.,"Explore diverse wildlife from around the globe in immersive habitats. The Singapore Zoo offers engaging experiences for families, including animal encounters, feeding sessions, and educational shows. Discover fascinating creatures and learn about conservation efforts in a lush, natural environment. Perfect for a family day out, the zoo provides a memorable and educational experience for all ages. Observe animals in open enclosures, participate in interactive exhibits, and enjoy the beauty of nature. The zoo is committed to providing a safe and enjoyable environment for all visitors, with various amenities and facilities available.",https://www.mandai.com/en/singapore-zoo.html,activity,https://www.mandai.com/en/singapore-zoo.html,FALSE,From $27.20,From $27.20 - $49,27.2,27.2,49,Suitable for all ages,0,99,Available daily,"Available daily, 8:30am - 6pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Singapore Zoo,"80 Mandai Lake Rd, Singapore 729826",Attraction,"[{""local_path"": ""events_output/event_1/images/user_uploads/Singapore_Zoo__Wildlife_Access_and_Family_Fun_1.jpg"", ""filename"": ""Singapore_Zoo__Wildlife_Access_and_Family_Fun_1.jpg"", ""original_url"": ""https://openverse.org/image/93a06adc-9f73-4efa-bb9e-21558e27e436?q=Mandai+zoo&p=17"", ""source_credit"": ""gunman47""}, {""local_path"": ""events_output/event_1/images/user_uploads/Singapore_Zoo__Wildlife_Access_and_Family_Fun_2.jpg"", ""filename"": ""Singapore_Zoo__Wildlife_Access_and_Family_Fun_2.jpg"", ""original_url"": ""https://www.mandai.com/en/see-and-do/all-activities.html?activity-type=kids-play%2Cadventure-plus"", ""source_credit"": ""mandai""}]",103.7930207,1.4043873,TRUE,North Region,Central Water Catchment,,"animals, nature, zoo, wildlife, safari"
229,Wild Wonders @ Singapore Zoo,Mandai Wildlife Reserve,Let your knowledge of the animal kingdom shine!,"Step into the wild as the Singapore Zoo transforms into a living, breathing game board. In Wild Wonders: The Ultimate Animal Showdown, your child becomes a wildlife strategist - choosing animal teammates, completing fun missions across the zoo, and building the ultimate trump card deck. It’s a high-energy, brain-boosting adventure packed with teamwork, critical thinking, and immersive animal discovery. Along the way, children tackle challenges focused on key survival traits like mobility, defence, hunting and foraging. From Orangutans that use tools to Sun Bears with foraging superpowers, your child will discover real animal abilities while having a blast outdoors and connecting with nature. The day ends in an ultimate final card battle - will strategy, smarts, and wild instincts lead their team to victory?",https://zooschool.mandai.com/programme/wild-wonders-singapore-zoo-144,event,https://zooschool.mandai.com/programme/wild-wonders-singapore-zoo-144,FALSE,From $70,$70,70,70,70,5 to 12 years old,5,12,Recurring Sat,"04, 11, 25 October 2025, 9:30am - 12pm",2025-10-04T09:30:00,2025-10-25T12:00:00,Singapore Zoo,"80 Mandai Lake Rd, Singapore 729826",Attraction,"[{""url"": ""https://mandai-s3-bucket-live.s3.ap-southeast-1.amazonaws.com/ClassImages/1753230468915_banner.jpg"", ""source_credit"": ""Mandai Wildlife Reserve""}, {""url"": ""https://mandai-s3-bucket-live.s3.ap-southeast-1.amazonaws.com/ProgrammeHighlight/144/1753230612991.jpg"", ""source_credit"": ""Mandai Wildlife Reserve""}]",103.7906676,1.4038498,TRUE,North Region,Central Water Catchment,,"animals, nature, zoo, wildlife, safari"
230,Singapore Botanic Gardens: A Lush Sanctuary,NParks,Explore a lush sanctuary in the heart of the city.,"The Singapore Botanic Gardens, a lush sanctuary near Orchard Road, is developed along a Four-Core Concept. Tanglin is the heritage core, Central is the tourist belt, and Bukit Timah is the educational zone. Tyersall-Gallop, opened in 2017, integrates with the existing rain forest. Each Core offers attractions for visitors to enjoy sights and sounds. Stroll around the Gardens and enjoy the wonderful sights and sounds the luscious greenery offers. Perfect for families and nature lovers, the gardens provide a serene escape with diverse flora and fauna.",https://www.nparks.gov.sg/sbg/our-gardens,activity,https://www.nparks.gov.sg/sbg/our-gardens,TRUE,Free,Free entry,0,0,,Suitable for all ages,0,99,Available daily,"Available daily, 5am - 12am",1970-01-01T00:00:00,2099-12-31T23:59:00,Singapore Botanic Gardens,"Opposite 1, Tyersall Ave",Attraction,"[{""local_path"": ""events_output/event_1/images/user_uploads/Singapore_Botanic_Gardens__A_Lush_Sanctuary_1.jpg"", ""filename"": ""Singapore_Botanic_Gardens__A_Lush_Sanctuary_1.jpg"", ""original_url"": ""https://openverse.org/image/6c88a57e-bec8-4167-9b50-99b6a8de5077?q=singapore+botanical+gardens&p=4"", ""source_credit"": ""edwin.11""}, {""local_path"": ""events_output/event_1/images/user_uploads/Singapore_Botanic_Gardens__A_Lush_Sanctuary_2.jpg"", ""filename"": ""Singapore_Botanic_Gardens__A_Lush_Sanctuary_2.jpg"", ""original_url"": ""https://openverse.org/image/b91a74b7-38b9-43c2-8138-21a872fe0853?q=singapore+botanical+gardens&p=7"", ""source_credit"": ""Calvin Teo""}, {""local_path"": ""events_output/event_1/images/user_uploads/Singapore_Botanic_Gardens__A_Lush_Sanctuary_3.jpg"", ""filename"": ""Singapore_Botanic_Gardens__A_Lush_Sanctuary_3.jpg"", ""original_url"": ""https://openverse.org/image/b91a74b7-38b9-43c2-8138-21a872fe0853?q=singapore+botanical+gardens&p=7"", ""source_credit"": ""Calvin Teo""}]",103.8123031,1.3119665,TRUE,Central Region,Tanglin,,"garden, flower, floral, nature, trek, heritage"
231,Bird Paradise,Mandai Wildlife Group,Explore a world of avian wonders at Bird Paradise.,"Discover a vibrant sanctuary teeming with diverse bird species from around the globe. Immerse yourself in captivating exhibits, interactive experiences, and lush landscapes that showcase the beauty and importance of avian life. Perfect for families and nature enthusiasts, Bird Paradise offers an unforgettable journey into the world of birds, fostering appreciation and conservation awareness. Explore different geographical zones and witness spectacular bird shows. A family-friendly destination that combines education and entertainment, creating lasting memories for all ages. Enjoy interactive feeding sessions and learn about the unique adaptations of various bird species. This is an immersive experience for all.",https://www.mandai.com/en/bird-paradise.html,activity,https://www.mandai.com/en/bird-paradise.html,FALSE,From $27.20,From $27.20 - $49,27.2,27.2,49,Suitable for all ages,0,99,Available daily,"Available daily, 9am - 6pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Bird Paradise,"20 Mandai Lake Rd, Singapore 729825",Attraction,"[{""local_path"": ""events_output/event_1/images/user_uploads/Bird_Paradise_1.jpg"", ""filename"": ""Bird_Paradise_1.jpg"", ""original_url"": ""https://www.mandai.com/en/bird-paradise.html"", ""source_credit"": ""mandai""}, {""local_path"": ""events_output/event_1/images/user_uploads/Bird_Paradise_2.jpg"", ""filename"": ""Bird_Paradise_2.jpg"", ""original_url"": ""https://www.mandai.com/en/bird-paradise.html"", ""source_credit"": ""mandai""}, {""local_path"": ""events_output/event_1/images/user_uploads/Bird_Paradise_3.jpg"", ""filename"": ""Bird_Paradise_3.jpg"", ""original_url"": ""https://www.mandai.com/en/bird-paradise.html"", ""source_credit"": ""mandai""}]",103.7812684,1.4071539,TRUE,North Region,Central Water Catchment,,"bird, nature, zoo, wildlife, safari, animals"
232,Singapore Flyer: An Immersive Journey in the Sky,Singapore Flyer,See Singapore’s Story Come Alive on An Immersive Journey,"Experience breathtaking panoramic views of Singapore's skyline and beyond from the Singapore Flyer. This iconic observation wheel offers a unique perspective of the city's landmarks, including Marina Bay Sands, Gardens by the Bay, and the Singapore River. Enjoy a leisurely ride in a spacious capsule, perfect for families and visitors of all ages. Discover the beauty of Singapore from a whole new angle, creating unforgettable memories with loved ones. The Singapore Flyer provides a captivating experience that showcases the city's vibrant culture and stunning architecture.",https://www.singaporeflyer.com/en,activity,https://www.singaporeflyer.com/en,FALSE,From $25,From $25 - $90,25,25,90,Suitable for all ages,0,99,Available daily,"Available daily, 10am - 10pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Singapore Flyer,"30 Raffles Ave., Level 3, Singapore 039803",Attraction,"[{""local_path"": ""events_output/event_1/images/user_uploads/Singapore_Flyer__An_Immersive_Journey_in_the_Sky_1.png"", ""filename"": ""Singapore_Flyer__An_Immersive_Journey_in_the_Sky_1.png"", ""original_url"": ""https://www.singaporeflyer.com/en/ticket/singapore-flyer-ticket"", ""source_credit"": ""singaporeflyer""}, {""local_path"": ""events_output/event_1/images/user_uploads/Singapore_Flyer__An_Immersive_Journey_in_the_Sky_2.png"", ""filename"": ""Singapore_Flyer__An_Immersive_Journey_in_the_Sky_2.png"", ""original_url"": ""https://www.singaporeflyer.com/en/ticket/singapore-flyer-ticket"", ""source_credit"": ""singaporeflyer""}]",103.8630957,1.2892996,TRUE,Central Region,Downtown Core,,"ferris wheel, skyline, scenic"
233,"Nippon Koi Fish Farm, a serene aquatic haven",Nippon Koi Fish Farm,"Selling Japanese Koi since 1980, outside of Japan.","Nippon Koi Fish Farm, established in 1980, specializes in selling exclusively Japanese Koi, making it a long-standing dealer outside of Japan. The farm offers a comprehensive range of koi-related goods suitable for both Koi and ornamental ponds. Visitors are welcome to explore the farm, which has incorporated sustainable vegetable planting to enhance and innovate its practices. A must-try is their unique Spinach Ice Cream! The farm provides an engaging experience for families interested in aquatic life and sustainable farming practices, making it an ideal destination for a family outing.",https://www.kranjicountryside.com/attractions,activity,https://www.kranjicountryside.com/attractions,TRUE,Free,Free entry,0,0,0,Suitable for all ages,0,99,Available daily,"Available daily, 8:30am - 7pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Nippon Koi Fish Farm,"51 Jln Lekar, Singapore 698946",Attraction,"[{""local_path"": ""events_output/event_1/images/user_uploads/Nippon_Koi_Fish_Farm__a_serene_aquatic_haven_1.jpg"", ""filename"": ""Nippon_Koi_Fish_Farm__a_serene_aquatic_haven_1.jpg"", ""original_url"": ""https://www.kranjicountryside.com/attractions"", ""source_credit"": ""kranjicountryside""}]",103.7220677,1.3813795,TRUE,West Region,Western Water Catchment,,"fish, koi, farm"
234,Kok Fah Technology Farm: Witness farm technology,Kok Fah Technology Farm,Family-owned business selling leafy vegetables for 40 years.,"Kok Fah Technology Farm is a local family-owned business that has been selling leafy vegetables in Singapore for the past 40 years. The daily operations are managed by the 3rd and 4th generations of the family, including Mr. Wong Kok Fah and his three brothers, who took over from their father in 1979. The farm is open for tours and features a bustling weekend market on its premises. Visitors can witness technology in farming and sustainability practices. This farm offers an educational experience for families, showcasing modern agricultural techniques and promoting sustainable living.",https://www.kranjicountryside.com/attractions,activity,https://www.kranjicountryside.com/attractions,TRUE,Free,"Free entry, $0.50 per fish feeding packet",0,0,0.5,Suitable for all ages,0,99,Recurring weekends,"Recurring weekends, 9am - 5pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Kok Fah Technology Farm,"18 Sungei Tengah Rd, Singapore 698974",Attraction,"[{""local_path"": ""events_output/event_2/images/user_uploads/Kok_Fah_Technology_Farm__Witness_farm_technology_1.png"", ""filename"": ""Kok_Fah_Technology_Farm__Witness_farm_technology_1.png"", ""original_url"": ""https://kokfahfarm.com.sg/weekend-market/"", ""source_credit"": ""kokfahfarm""}, {""local_path"": ""events_output/event_2/images/user_uploads/Kok_Fah_Technology_Farm__Witness_farm_technology_2.jpeg"", ""filename"": ""Kok_Fah_Technology_Farm__Witness_farm_technology_2.jpeg"", ""original_url"": """", ""source_credit"": ""Mummysmarket""}, {""local_path"": ""events_output/event_2/images/user_uploads/Kok_Fah_Technology_Farm__Witness_farm_technology_3.jpeg"", ""filename"": ""Kok_Fah_Technology_Farm__Witness_farm_technology_3.jpeg"", ""original_url"": """", ""source_credit"": ""Mummysmarket""}]",103.7279903,1.3938405,TRUE,West Region,Western Water Catchment,,"vegetable, sustainable, farm, market"
235,Qian Hu Fish Farm Integrated Service Provider,Qian Hu Fish Farm,Integrated service provider of ornamental fish.,"Qian Hu Fish Farm Trading is one an integrated “one-stop” service provider ranging from farming, importing, exporting and distributing of ornamental fish. There are also Seafood retail areas at the farm. One of the most successful local farming business, Qian Hu Fish Farm also have recreational and play areas such as the Traditional Long Kang Fishing Experience and visitors can also have a guided tour when visiting. The farm offers a unique opportunity to learn about the ornamental fish industry and see the various stages of fish farming. Visitors can also enjoy recreational activities such as the Traditional Long Kang Fishing Experience.",https://www.kranjicountryside.com/attractions,activity,https://www.kranjicountryside.com/attractions,TRUE,Free + Paid options,"Free entry. Longkang fishing: $7 for 30 mins, $12 for 1 hour.",0,0,12,Suitable for all ages,0,99,Available daily,"Weekdays: 9am – 6pm, Weekends: 9am – 7pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Qian Hu Fish Farm,"71 Jln Lekar, Singapore 698950",Attraction,"[{""local_path"": ""events_output/event_3/images/user_uploads/Qian_Hu_Fish_Farm_Integrated_Service_Provider_1.jpg"", ""filename"": ""Qian_Hu_Fish_Farm_Integrated_Service_Provider_1.jpg"", ""original_url"": ""https://qianhudiscover.com/visitors-info/"", ""source_credit"": ""qianhudiscover""}, {""local_path"": ""events_output/event_3/images/user_uploads/Qian_Hu_Fish_Farm_Integrated_Service_Provider_2.jpeg"", ""filename"": ""Qian_Hu_Fish_Farm_Integrated_Service_Provider_2.jpeg"", ""original_url"": ""https://qianhudiscover.com/visitors-info/"", ""source_credit"": ""qianhudiscover""}]",103.721658,1.385036,TRUE,West Region,Western Water Catchment,,"fish, farm"
236,Bollywood Farms: Countryside Surprises and Excitement,Bollywood Farms,"A farm full of surprises, excitement, and great fun!","Bollywood Farms, formerly known as Bollywood Veggies, started in 2000. The farm offers a range of surprises, excitement, and fun activities. It provides a unique countryside experience with a focus on local friendships and wider options. Visitors can explore the farm and enjoy the various offerings, making it a great destination for those seeking a fun and engaging experience. The farm is designed to be full of surprises and excitement, providing a memorable experience for all visitors. It's a place where families and friends can come together to enjoy the countryside.",https://www.kranjicountryside.com/attractions,activity,https://www.kranjicountryside.com/attractions,TRUE,Free + Paid options,Free entry. Dining options available,0,0,0,Suitable for all ages,0,99,Available daily (except Mon & Tue),"Wed – Fri:10am – 3pm, Weekends & PH: 7am – 6pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Bollywood Farms,"100 Neo Tiew Rd, Singapore 719026",Attraction,"[{""local_path"": ""events_output/event_4/images/user_uploads/Bollywood_Farms__Countryside_Surprises_and_Excitement_1.png"", ""filename"": ""Bollywood_Farms__Countryside_Surprises_and_Excitement_1.png"", ""original_url"": ""https://bollywoodfarms.com/contact-us/"", ""source_credit"": ""bollywoodfarms""}]",103.7165168,1.4184872,TRUE,North Region,Lim Chu Kang,,"vegetable, sustainable, farm, market"
