ID,title,organiser,blurb,description,guid,activity_or_event,url,is_free,price_display_teaser,price_display,price,min_price,min_price.1,age_group_display,min_age,max_age,datetime_display_teaser,datetime_display,start_datetime,end_datetime,venue_name,address_display,categories,images,longitude,latitude,checked,region,planning_area,label tag,keyword tag
273,Lazy Lizard Restaurant: A Family-Friendly Dining Spot,Lazy Lizard,Enjoy home-style food and drinks in a relaxed setting.,"Lazy Lizard is a restaurant that offers a relaxed and family-friendly dining experience. With a focus on home-style food and a variety of drinks, it's a great place for families to gather and enjoy a meal together. The restaurant provides a comfortable atmosphere where parents can unwind while kids enjoy the menu options. It is designed to cater to families looking for a casual dining experience with a diverse menu to suit different tastes. The venue also hosts events and happenings, making it a vibrant spot for the community. The restaurant aims to provide a welcoming environment for families and individuals alike.",https://lazylizard.com.sg/,activity,https://lazylizard.com.sg/,TRUE,From $5,Varies according to menu item. Kids dine free every weekend & PH.,,,,Suitable for all ages,0,99,Available daily,"Mon - Thu: 12pm - 10:30pm, Fri: 12pm - 12am, Sat: 11am - 12am, Sun: 11am - 10:30am",1970-01-01 0:00:00,2099-12-31 23:59:00,Lazy Lizard,"7 Ang Mo Kio Street 66 #01-09 & #01-12, Flora Vista, Singapore 567708",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Lazy_Lizard_Restaurant__A_Family_Friendly_Dining_Spot_1.jpg"", ""filename"": ""Lazy_Lizard_Restaurant__A_Family_Friendly_Dining_Spot_1.jpg"", ""original_url"": ""https://lazylizard.com.sg/happenings/"", ""source_credit"": ""lazylizard""}, {""local_path"": ""events_output/event_1/images/user_uploads/Lazy_Lizard_Restaurant__A_Family_Friendly_Dining_Spot_2.jpg"", ""filename"": ""Lazy_Lizard_Restaurant__A_Family_Friendly_Dining_Spot_2.jpg"", ""original_url"": ""https://lazylizard.com.sg/locations/"", ""source_credit"": ""lazylizard""}]",103.8505,1.391646,TRUE,North-East Region,Ang Mo Kio,Kids dine free,casual
274,Little Lazy Lizard - Bukit Timah Family Dining,Lazy Lizard,"Family-friendly dining at Bukit Timah Road, Singapore.","Little Lazy Lizard at Bukit Timah Road offers a relaxed and family-friendly dining experience. Enjoy a diverse menu in a comfortable setting, perfect for gatherings with loved ones. The restaurant provides a welcoming atmosphere for families looking to enjoy a meal together. With a variety of dishes to choose from, there's something for everyone to enjoy. The location is easily accessible and provides a convenient dining option for residents and visitors alike. The restaurant aims to provide a memorable dining experience for all its guests.",https://lazylizard.com.sg/,activity,https://lazylizard.com.sg/,TRUE,From $5,Varies according to menu item. Kids dine free every weekend & PH.,,,,Suitable for all ages,0,99,Available daily,"Mon - Thu: 12pm - 9:30pm, Fri: 12pm - 10pm, Weekends: 11am - 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Little Lazy Lizard,"789 Bukit Timah Rd, Singapore 269763",Kids-friendly dining,"[{""local_path"": ""events_output/event_2/images/user_uploads/Little_Lazy_Lizard___Bukit_Timah_Family_Dining_1.jpg"", ""filename"": ""Little_Lazy_Lizard___Bukit_Timah_Family_Dining_1.jpg"", ""original_url"": ""https://lazylizard.com.sg/locations/"", ""source_credit"": ""lazylizard""}, {""local_path"": ""events_output/event_2/images/user_uploads/Little_Lazy_Lizard___Bukit_Timah_Family_Dining_2.jpg"", ""filename"": ""Little_Lazy_Lizard___Bukit_Timah_Family_Dining_2.jpg"", ""original_url"": ""https://lazylizard.com.sg/locations/"", ""source_credit"": ""lazylizard""}]",103.7962,1.331159,TRUE,Central Region,Bukit Timah,Kids dine free,casual
275,Canopy Jurong Lake Gardens Dining Experience,Canopy,Dine in nature with lakeside tranquility at Canopy.,"Canopy at Jurong Lake Gardens offers a unique dining experience surrounded by lush greenery and a tranquil lakeside atmosphere. It's the perfect spot for a serene day out, offering a brunch menu with outlet-exclusive items. Enjoy dining amidst nature's beauty, making it an ideal destination for families and individuals seeking a peaceful escape. The biophilic backdrop enhances the dining experience, creating a refreshing and relaxing environment for all visitors. Perfect for families looking for a relaxing dining experience.",https://www.canopygardendining.com/location/jurong-lake-gardens/,activity,https://www.canopygardendining.com/location/jurong-lake-gardens/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Weekdays: 11:30am - 10pm, Weekends,/PH: 9am - 10:30pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Jurong Lake Gardens,"70 Yuan Ching Rd, #01-02, Singapore 619675",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Canopy_Jurong_Lake_Gardens_Dining_Experience_1.jpg"", ""filename"": ""Canopy_Jurong_Lake_Gardens_Dining_Experience_1.jpg"", ""original_url"": ""https://www.canopygardendining.com/location/jurong-lake-gardens/"", ""source_credit"": ""canopygardendining""}, {""url"": ""https://images.getbento.com/accounts/7fbedbda09fb6a0d9158c5f539aca81c/media/images/889690I5A5105.jpg?w=1200&fit=crop&auto=compress,format&cs=origin&crop=focalpoint&fp-x=0.5&fp-y=0.5"", ""source_credit"": ""Canopy""}]",103.728,1.338189,TRUE,West Region,Jurong East,,nature
276,Bee’s Knees at The Garage Cafe & Bistro in Gardens,Bee’s Knees,"Fun, laid-back cafe & bistro in Botanic Gardens.","Bee’s Knees is a fun, laid-back cafe & bistro concept that draws inspiration from the highly social, evolved behaviour of bees. The first Bee’s Knees opened in 2017 at The Garage, Singapore Botanic Gardens, fast becoming a hot spot for the simplest most joyous occasions in our lives: pet owners to chill with their furkids al fresco, parents to dine in peace while their little ones totter about, and a cozy respite for social get-togethers. Dig in to comfort food elevated to be hearty and satisfying with South East Asian touches. With a wholesome and diverse menu with vegetarian options, the little ones, the health-conscious, the indulgent, and the alcoholic all get something under one hive.",https://www.beesknees.sg/,activity,https://www.beesknees.sg/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Available daily, 8am to 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Bee’s Knees at The Garage,"Cluny Park Rd, Level 1 The Garage, 50, Singapore 257488",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Bee_s_Knees_at_The_Garage_Cafe___Bistro_in_Gardens_1.webp"", ""filename"": ""Bee_s_Knees_at_The_Garage_Cafe___Bistro_in_Gardens_1.webp"", ""original_url"": ""https://www.beesknees.sg/"", ""source_credit"": ""beesknees""}, {""local_path"": ""events_output/event_1/images/user_uploads/Bee_s_Knees_at_The_Garage_Cafe___Bistro_in_Gardens_2.webp"", ""filename"": ""Bee_s_Knees_at_The_Garage_Cafe___Bistro_in_Gardens_2.webp"", ""original_url"": ""https://www.beesknees.sg/"", ""source_credit"": ""beesknees""}, {""local_path"": ""events_output/event_1/images/user_uploads/Bee_s_Knees_at_The_Garage_Cafe___Bistro_in_Gardens_3.jpg"", ""filename"": ""Bee_s_Knees_at_The_Garage_Cafe___Bistro_in_Gardens_3.jpg"", ""original_url"": ""https://www.beesknees.sg/"", ""source_credit"": ""beesknees""}, {""url"": ""https://images.squarespace-cdn.com/content/v1/6020f9437dc49320d38cd8a4/d5755eb3-2f3a-4ad0-a15a-928d3b734743/BK+Interior_Nov2020-06944.jpg"", ""source_credit"": ""Bee’s Knees""}, {""url"": ""https://images.squarespace-cdn.com/content/v1/6020f9437dc49320d38cd8a4/58e56cf7-2795-4635-b470-02fdcafd5526/BK+Interior_Nov2020-06921.jpg"", ""source_credit"": ""Bee’s Knees""}]",103.8156,1.318974,TRUE,Central Region,Tanglin,,"Botanical garden, brunch"
277,Jimmy Monkey Cafe & Bar - PLQ,Jimmy Monkey,"Authentic Melbourne cafe lifestyle, open daily.","Jimmy Monkey Cafe & Bar brings the authentic Melbourne cafe lifestyle to Singapore. The PLQ location is open daily from 8AM to 10PM, next to an outdoor playground. Enjoy specialty coffee, delicious brunch options, and a relaxed atmosphere perfect for families and individuals alike. A great spot for a casual meal or a coffee break.",https://jimmymonkey.com/,activity,https://jimmymonkey.com/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Available daily, 8am - 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Jimmy Monkey PLQ (PARKSIDE),"2 Paya Lebar Rd, #01-10 Park Place Residences - next to playground, Singapore 409053",Kids-friendly dining,"[{""url"": ""https://jimmymonkey.com/wp-content/uploads/2025/06/PLQ-BG.jpg"", ""source_credit"": ""Jimmy Monkey""}]",103.8926,1.315578,TRUE,Central Region,Geylang,Play area,"playground, PLQ"
278,Super Loco Robertson Quay Mexican Cantina,Super Loco,Cosy Mexican cantina in Robertson Quay neighbourhood.,"Located in Robertson Quay, Super Loco offers Mexican cuisine in a vibrant setting. The restaurant features colorful street posters reminiscent of Mexico City's barrios. It's a family-friendly riverside spot for weekend brunch or lunch and dinner. The venue is known for its lively atmosphere and is suitable for families and even furry friends looking for a place to dine and relax by the Singapore River. The restaurant provides a cozy environment for enjoying Mexican food.",https://super-loco.com/robertsonquay,activity,https://super-loco.com/robertsonquay,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Mon - Wed: 5pm - 11pm, Thu: 11:30pm - 11pm, Fri: 11:30am - 11:30pm, Sat: 10am - 11:30pm, Sun: 10am - 11pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Super Loco Robertson Quay,"60 Robertson Quay, #01-13 The Quayside, Singapore 238252",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Super_Loco_Robertson_Quay_Mexican_Cantina_1.webp"", ""filename"": ""Super_Loco_Robertson_Quay_Mexican_Cantina_1.webp"", ""original_url"": ""https://super-loco.com/robertsonquay"", ""source_credit"": ""superloco""}, {""url"": ""https://images.squarespace-cdn.com/content/v1/64bd41d5f55df83ffad083ce/c07f2756-d4d4-4ae2-ae44-7556cb6b842b/Super-Loco-Robertson-Quay-1-1-2.jpg"", ""source_credit"": ""Super Loco""}, {""url"": ""https://images.squarespace-cdn.com/content/v1/64bd41d5f55df83ffad083ce/5414f79d-7409-43cd-a0ca-ad24a2a3793d/Super+Loco+RQ+Logo.png"", ""source_credit"": ""Super Loco""}]",103.8393,1.289961,TRUE,Central Region,Singapore River,,"Mexican, taco"
279,Ola Beach Club: Beachfront Dining,Ola Beach Club,Enjoy watersports and dining by the beach!,"Ola Beach Club offers a variety of watersports activities suitable for families and kids, including jet skiing, stand-up paddleboarding, and kayaking. Relax on the beach with Hawaiian-inspired cuisine and refreshing drinks. The club provides a family-friendly atmosphere with a dedicated kids' menu and beach games. Enjoy the sun, sand, and sea with a range of activities for all ages. Perfect for a day of fun and relaxation by the beach, with options for both adventurous watersports and laid-back dining experiences. The venue is designed to cater to families looking for a memorable beachside experience.",https://olabeachclub.com/dining/,activity,https://olabeachclub.com/dining/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Mon – Thu: 10am–9pm, Fri: 10am–10pm, Sat: 9am–10pm, Sun: 9am–9pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Ola Beach Club,"46 Siloso Bch Walk, 099005",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Ola_Beach_Club__Watersports_and_Beachfront_Dining_1.jpg"", ""filename"": ""Ola_Beach_Club__Watersports_and_Beachfront_Dining_1.jpg"", ""original_url"": ""https://olabeachclub.com/dining/"", ""source_credit"": ""olabeachclub""}, {""local_path"": ""events_output/event_1/images/user_uploads/Ola_Beach_Club__Watersports_and_Beachfront_Dining_2.jpg"", ""filename"": ""Ola_Beach_Club__Watersports_and_Beachfront_Dining_2.jpg"", ""original_url"": ""https://olabeachclub.com/dining/"", ""source_credit"": ""olabeachclub""}, {""local_path"": ""events_output/event_1/images/user_uploads/Ola_Beach_Club__Watersports_and_Beachfront_Dining_3.jpg"", ""filename"": ""Ola_Beach_Club__Watersports_and_Beachfront_Dining_3.jpg"", ""original_url"": ""https://olabeachclub.com/dining/"", ""source_credit"": ""olabeachclub""}, {""url"": ""https://olabeachclub.com/wp-content/uploads/2022/08/Sub-Brands-Logo-05.png"", ""source_credit"": ""Ola Beach Club""}]",103.8152,1.253077,TRUE,Central Region,Southern Islands,,"Mexican, taco"
280,Jovis Cafe: A Family-Friendly Dining Experience,Jovis Cafe,"Cosy cafe near Clementi with mains, coffee & desserts.","Jovis Cafe is a family-friendly and work-friendly cafe located near Clementi. We offer an extensive menu of mains, coffee, alcohol, and desserts suitable for all ages. Our mission is to create a place where beautiful memories with loved ones are made. We provide free Wi-Fi, power plugs, books, and magazines, making it perfect for dates, study sessions, and family dinners. Come and enjoy a relaxing and welcoming atmosphere with a variety of food and beverage options for everyone in the family.",https://joviscafe.sg/,activity,https://joviscafe.sg/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily (except Thu),"Mon - Wed: 11.30am – 9:30pm, Fri - Sun: 10:30am – 9:30pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Jovis Cafe,"104 Faber Dr, Singapore 129412",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Jovis_Cafe__A_Family_Friendly_Dining_Experience_1.jpg"", ""filename"": ""Jovis_Cafe__A_Family_Friendly_Dining_Experience_1.jpg"", ""original_url"": ""https://joviscafe.sg/"", ""source_credit"": ""joviscafe""}]",103.7566,1.320582,TRUE,West Region,Clementi,,café
281,Quentin's Eurasian Restaurant Dining Experience,Quentin's Eurasian Restaurant,Enjoy authentic Eurasian cuisine in a family setting.,"Quentin's Eurasian Restaurant offers a unique dining experience with traditional Eurasian dishes. The restaurant provides a family-friendly atmosphere, making it a great place to enjoy a meal with loved ones. The menu features a variety of flavorful dishes, showcasing the rich culinary heritage of the Eurasian community. From classic stews to spicy curries, there's something for everyone to enjoy. The restaurant is known for its warm hospitality and commitment to serving delicious, authentic Eurasian cuisine. Perfect for families looking to explore new flavors and create lasting memories.",https://www.quentins.com.sg/?gad_source=1&gad_campaignid=22890101035&gbraid=0AAAAACg9vFUlgj1loj505KTGJqHKEERdL&gclid=CjwKCAjw2vTFBhAuEiwAFaScwo5n5_qCrSHQXwlWWM_dQ4LPtvy6sjYz1-jAiDv9t-gQXRbUviO0LBoCF2UQAvD_BwE,activity,https://www.quentins.com.sg/?gad_source=1&gad_campaignid=22890101035&gbraid=0AAAAACg9vFUlgj1loj505KTGJqHKEERdL&gclid=CjwKCAjw2vTFBhAuEiwAFaScwo5n5_qCrSHQXwlWWM_dQ4LPtvy6sjYz1-jAiDv9t-gQXRbUviO0LBoCF2UQAvD_BwE,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily (except Mon),"Available daily (except Mon), 11:30am - 2:30pm & 5:30pm - 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Quentin's Eurasian Restaurant,"139 Ceylon Rd, Level 1 Eurasian Heritage Gallery, Singapore 429744",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Quentin_s_Eurasian_Restaurant_Dining_Experience_1.jpg"", ""filename"": ""Quentin_s_Eurasian_Restaurant_Dining_Experience_1.jpg"", ""original_url"": ""https://www.quentins.com.sg/?gad_source=1&gad_campaignid=22890101035&gbraid=0AAAAACg9vFUlgj1loj505KTGJqHKEERdL&gclid=CjwKCAjw2vTFBhAuEiwAFaScwo5n5_qCrSHQXwlWWM_dQ4LPtvy6sjYz1-jAiDv9t-gQXRbUviO0LBoCF2UQAvD_BwE"", ""source_credit"": ""quentins""}, {""local_path"": ""events_output/event_1/images/user_uploads/Quentin_s_Eurasian_Restaurant_Dining_Experience_2.jpg"", ""filename"": ""Quentin_s_Eurasian_Restaurant_Dining_Experience_2.jpg"", ""original_url"": ""https://www.quentins.com.sg/"", ""source_credit"": ""quentins""}]",103.8993,1.310005,TRUE,Central Region,Geylang,Play area,Eurasian
282,NOM Bistro: Family-Friendly Dining with Play Area,NOM Bistro,Modern cuisine with a mini dragon play area for kids.,"NOM Bistro, located at Macpherson Community Club, offers modern cuisine with a twist. Appetizers include luncheon meat strips and chicken skin crisps. The salted egg pasta features prawns. The Double Trouble Burger has succulent patties. There is a kids menu available. A key feature is the indoor play area with a slide resembling the Toa Payoh Dragon Playground, providing a safe environment for children while parents dine. Expect to spend between $15 to $25 per head. The bistro exudes a sense of calmness away from the city environment.",https://www.littledayout.com/nom-bistro-family-friendly-dining-spot-in-macpherson-with-a-mini-dragon-play-area/,activity,https://www.littledayout.com/nom-bistro-family-friendly-dining-spot-in-macpherson-with-a-mini-dragon-play-area/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily (except Tue),"Weekdays (except Tue): 12pm - 10pm, Weekends/PH: 11am - 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,NOM Bistro,"400 Paya Lebar Way, Level 1 MacPherson Community Club, Singapore 379131",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/NOM_Bistro__Family_Friendly_Dining_with_Play_Area_1.jpg"", ""filename"": ""NOM_Bistro__Family_Friendly_Dining_with_Play_Area_1.jpg"", ""original_url"": ""gaylenhx"", ""source_credit"": ""gaylenhx""}]",103.8846,1.323562,TRUE,Central Region,Geylang,Play area,
283,Marché Mövenpick Family Dining Experience,Marché Restaurants Singapore,Enjoy fresh market fare with a special kids' menu!,"Marché Mövenpick offers a family-friendly dining experience where parents can enjoy fresh market cuisine while kids can choose from the Picky Kids’ Menu. The restaurant provides a relaxed atmosphere suitable for families with young children. The Picky Kids' Menu includes a variety of options designed to appeal to children's tastes, ensuring a satisfying meal for everyone. The restaurant focuses on fresh ingredients and a welcoming environment for families to dine together. The family special is available all day, making it a convenient option for lunch or dinner. The restaurant aims to provide a pleasant and stress-free dining experience for families.",https://www.marche-restaurants.sg/en/extra-service/family,activity,https://www.marche-restaurants.sg/en/extra-service/family,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Mon - Thu: 11am - 9:30pm, Fri: 11am - 10:30pm, Sat: 10am - 10:30pm, Sun: 10am - 9:30pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Marché Mövenpick 313@somerset,"313 Orchard Rd, Singapore 238895",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/March__M_venpick_Family_Dining_Experience_1.jpg"", ""filename"": ""March__M_venpick_Family_Dining_Experience_1.jpg"", ""original_url"": ""https://www.marche-restaurants.sg/en/extra-service/family"", ""source_credit"": ""marche""}, {""url"": ""https://media.marche-restaurants.com/karmarun//image/upload/q_60,w_2400,h_1214,c_fill/marche/BkDGHNlnH-Pastakidsxxxxxx_i010191.jpg"", ""source_credit"": ""Marché Restaurants Singapore""}]",103.8383,1.300906,TRUE,Central Region,Orchard,Play area,marche
284,Marché Mövenpick Restaurants - Picky Kids’ Menu,Marché Mövenpick,Family-friendly dining options available for kids.,"Marché Mövenpick Restaurants offer a Picky Kids’ Menu designed to cater to the tastes of younger diners. The menu includes a variety of options suitable for children, ensuring a pleasant dining experience for the whole family. The restaurants provide a welcoming atmosphere for families, making it a convenient choice for parents looking for a place to eat with their kids. The Picky Kids’ Menu aims to provide balanced and appealing meals for children, with options that are both nutritious and enjoyable. The restaurants also offer a range of other dishes suitable for adults, ensuring that everyone in the family can find something to their liking. The focus is on fresh ingredients and quality preparation, providing a satisfying dining experience for all ages. The restaurants are designed to be family-friendly, with comfortable seating and a relaxed atmosphere.",https://www.marche-restaurants.sg/en/extra-service/family,activity,https://www.marche-restaurants.sg/en/extra-service/family,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Mon - Thu: 11am - 10pm, Fri & PH Eve: 11am - 11pm, Sat: 10am - 11pm, Sun & PH: 10am - 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Suntec City (Tower 3),"1 HarbourFront Walk, #03 - 14 VivoCity, Singapore 098585",Kids-friendly dining,"[{""local_path"": ""events_output/event_2/images/user_uploads/March__M_venpick_Restaurants___Picky_Kids__Menu_1.jpg"", ""filename"": ""March__M_venpick_Restaurants___Picky_Kids__Menu_1.jpg"", ""original_url"": ""https://www.marche-restaurants.sg/en/our-locations/suntec-city"", ""source_credit"": ""marche""}, {""url"": ""https://media.marche-restaurants.com/karmarun//image/upload/q_60,w_2400,h_1214,c_fill/marche/BkDGHNlnH-Pastakidsxxxxxx_i010191.jpg"", ""source_credit"": ""Marché Mövenpick""}]",103.8214,1.264451,TRUE,Central Region,Bukit Merah,Play area,marche
285,Marché Mövenpick Marketplace Picky Kids' Menu,Marché Restaurants Singapore,Healthy market options at a special price!,"Children (between 80cm to 140cm in height) get to choose from our healthy market options at a special price! Includes a 30cl of juice or soft drink and a fun-sized ice cream in a cone! Available at 313@somerset, Suntec City, and VivoCity.",https://www.marche-restaurants.sg/en/extra-service/family,activity,https://www.marche-restaurants.sg/en/extra-service/family,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Mon - Thu: 11am - 9:30pm, Fri: 11am - 10:30pm, Sat: 10am - 10:30pm, Sun: 10am - 9:30pm",1970-01-01 0:00:00,2099-12-31 23:59:00,VivoCity,"3 Temasek Boulevard #01-612 to 614, Tower 3 Suntec City, Singapore 038983",Kids-friendly dining,"[{""local_path"": ""events_output/event_3/images/user_uploads/March__M_venpick_Marketplace_Picky_Kids__Menu_1.jpg"", ""filename"": ""March__M_venpick_Marketplace_Picky_Kids__Menu_1.jpg"", ""original_url"": ""https://www.marche-restaurants.sg/en/extra-service/family"", ""source_credit"": ""marche""}, {""local_path"": ""events_output/event_3/images/user_uploads/March__M_venpick_Marketplace_Picky_Kids__Menu_2.jpg"", ""filename"": ""March__M_venpick_Marketplace_Picky_Kids__Menu_2.jpg"", ""original_url"": ""https://www.marche-restaurants.sg/en/extra-service/family"", ""source_credit"": ""marche""}, {""url"": ""https://media.marche-restaurants.com/karmarun//image/upload/q_60,h_400,c_fill/marche/BJaTAoZez-picky_mascot.png"", ""source_credit"": ""Marché Restaurants Singapore""}]",103.8598,1.295465,TRUE,Central Region,Downtown Core,Play area,marche
