ID,title,organiser,blurb,description,guid,activity_or_event,url,is_free,price_display_teaser,price_display,price,min_price,min_price.1,age_group_display,min_age,max_age,datetime_display_teaser,datetime_display,start_datetime,end_datetime,venue_name,address_display,categories,images,longitude,latitude,checked,region,planning_area,label tag,keyword tag
286,"Whisk & Paddle - Punggol (Pet-friendly, outdoors)",Whisk & Paddle,Pet-friendly outdoor dining at Punggol Tebing Lane.,"Whisk & Paddle at Punggol offers a unique pet-friendly outdoor dining experience. Enjoy a relaxing atmosphere with your furry friends while savoring delicious food and drinks. The cafe provides a scenic view and a comfortable setting for families and pet owners alike. It's a great place to unwind and enjoy quality time with your loved ones and pets. The outdoor seating area is spacious and well-maintained, making it ideal for a casual meal or a special occasion. The menu features a variety of options to cater to different tastes, ensuring a satisfying dining experience for everyone.",https://whiskandpaddle.com.sg/contact-us/,activity,https://whiskandpaddle.com.sg/contact-us/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily (except Mon),"Weekdays (except Mon): 12pm – 10pm, Weekends/PH: 9:30am – 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Whisk & Paddle - Punggol,"10 Tebing Ln, Singapore 828836",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Whisk___Paddle___Punggol__Pet_friendly__outdoors__1.jpg"", ""filename"": ""Whisk___Paddle___Punggol__Pet_friendly__outdoors__1.jpg"", ""original_url"": ""https://whiskandpaddle.com.sg/gallery/"", ""source_credit"": ""whiskandpaddle""}, {""url"": ""http://whiskandpaddle.com.sg/wp-content/uploads/2018/02/whisk_paddle_logo.png"", ""source_credit"": ""Whisk & Paddle""}]",103.9173,1.393175,TRUE,North-East Region,Punggol,Play area,Mac & cheese
287,Whisk & Paddle at Bukit Gombak Park,Whisk & Paddle,Visit Whisk & Paddle at Bukit Gombak Park.,"Whisk & Paddle is located at Bukit Gombak Park. Enjoy the scenic views while dining. Note that this location is not pet-friendly. Visit our Facebook page for frequent updates on our operation especially during Public Holidays to avoid disappointment. For table reservations, please call respective outlets. Walk-in only on Sat/Sun/PH/Eve of PH, no reservation.",https://whiskandpaddle.com.sg/contact-us/,activity,https://whiskandpaddle.com.sg/contact-us/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily (except Mon),"Weekdays (except Mon): 12pm – 10pm, Weekends/PH: 9:30am – 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Bukit Gombak Park,"816 Bukit Batok West Ave. 5, #01-01, Singapore 659089",Kids-friendly dining,"[{""local_path"": ""events_output/event_2/images/user_uploads/Whisk___Paddle_at_Bukit_Gombak_Park_1.jpeg"", ""filename"": ""Whisk___Paddle_at_Bukit_Gombak_Park_1.jpeg"", ""original_url"": """", ""source_credit"": ""Mummysmarket""}, {""local_path"": ""events_output/event_2/images/user_uploads/Whisk___Paddle_at_Bukit_Gombak_Park_2.jpeg"", ""filename"": ""Whisk___Paddle_at_Bukit_Gombak_Park_2.jpeg"", ""original_url"": """", ""source_credit"": ""Mummysmarket""}]",103.7511,1.367384,TRUE,West Region,Bukit Batok,Play area,Mac & cheese
288,Lawry's The Prime Rib - Kids Dine Free Sundays,Lawry's Singapore,Kids dine free on Sundays with adult main courses.,"Lawry's The Prime Rib offers a special promotion where kids can dine for free on Sundays. With every two adult à la carte main courses or set menus ordered, two children aged 12 and below can enjoy a complimentary 3-course kids set menu. This dine-in offer is perfect for families looking to enjoy a quality meal together in a sophisticated setting. Please note that the offer is not valid on public holidays, eve of public holidays and other special occasions. Check the terms and conditions for full details and blackout dates.",https://lawrys.com.sg/kids-dine-free/,event,https://lawrys.com.sg/kids-dine-free/,TRUE,From $5,Varies according to menu item. Kids dine free on Sundays.,,,,Suitable for all ages,0,99,01 Jan - 30 Nov,"01 January 2025 – 30 November 2025, lunch & dinner",2025-01-01 0:00:00,2025-11-30 23:59:00,Lawry's The Prime Rib,"333A Orchard Rd, #04 - 01 / 31, Singapore 238897",Kids-friendly dining,"[{""url"": ""https://lawrys.com.sg/wp-content/uploads/2024/06/Rectangle-370.png"", ""source_credit"": ""Lawry's Singapore""}]",103.837,1.301863,TRUE,Central Region,Orchard,Kids dine free,Steak
289,"Little Farms Table, Sentosa Cove Restaurant",Little Farms,"Unforgettable Dining, Exceptional Quality, Served with Heart.","Little Farms Table at Sentosa Cove offers a dining experience focused on exceptional quality and heartfelt service. The restaurant provides a welcoming atmosphere for families and individuals alike. Enjoy a variety of dishes prepared with fresh ingredients, perfect for a memorable meal. The location at Sentosa Cove adds to the charm, making it an ideal spot for a relaxing dining experience. The restaurant aims to provide a family-friendly environment where everyone can enjoy delicious food and create lasting memories. The menu features a range of options to cater to different tastes, ensuring a satisfying experience for all.",https://littlefarmscafe.com/,activity,https://littlefarmscafe.com/,TRUE,From $5,Varies according to menu item. Kids dine free on Sundays.,,,,Suitable for all ages,0,99,Available daily,"Available daily, 7:30am - 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,"Little Farms Table, Sentosa Cove","1 Cove Ave, #02-14 Sentosa, 098537",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Little_Farms_Table__Sentosa_Cove_Restaurant_1.webp"", ""filename"": ""Little_Farms_Table__Sentosa_Cove_Restaurant_1.webp"", ""original_url"": ""https://littlefarmscafe.com/pages/table-by-little-farms-sentosa"", ""source_credit"": ""littlefarmscafe""}, {""local_path"": ""events_output/event_1/images/user_uploads/Little_Farms_Table__Sentosa_Cove_Restaurant_2.webp"", ""filename"": ""Little_Farms_Table__Sentosa_Cove_Restaurant_2.webp"", ""original_url"": ""https://littlefarmscafe.com/pages/promotions"", ""source_credit"": ""littlefarmscafe""}]",103.84,1.247275,TRUE,Central Region,Southern Islands,Kids dine free,bistro
290,"Little Farms Bistro, Katong Point Restaurant",Little Farms,"In the heart of Joo Chiat, open daily for dining.","Little Farms Bistro at Katong Point offers a delightful dining experience with a focus on fresh, high-quality ingredients. The bistro provides a relaxed atmosphere suitable for families and individuals alike. Enjoy a diverse menu featuring brunch, lunch, and dinner options, including vegetarian and gluten-free choices. The restaurant is committed to sourcing sustainable and ethically produced food, ensuring a healthy and delicious meal for everyone. Perfect for a family outing or a casual meal with friends, Little Farms Bistro provides a welcoming environment and exceptional service.",https://littlefarmscafe.com/,activity,https://littlefarmscafe.com/,TRUE,From $5,Varies according to menu item. Kids dine free on Sundays.,,,,Suitable for all ages,0,99,Available daily,"Mon - Thu: 8am - 9pm, Fri: 8am - 9:30pm, Sat: 7:30am - 9:30pm, Sun: 7:30am - 9pm",1970-01-01 0:00:00,2099-12-31 23:59:00,"Little Farms Bistro, Katong Point","451 Joo Chiat Rd, #01-04, Singapore 427664",Kids-friendly dining,"[{""local_path"": ""events_output/event_2/images/user_uploads/Little_Farms_Bistro__Katong_Point_Restaurant_1.webp"", ""filename"": ""Little_Farms_Bistro__Katong_Point_Restaurant_1.webp"", ""original_url"": ""https://littlefarmscafe.com/pages/little-farms-katong-point-bistro"", ""source_credit"": ""littlefarmscafe""}, {""local_path"": ""events_output/event_2/images/user_uploads/Little_Farms_Bistro__Katong_Point_Restaurant_2.webp"", ""filename"": ""Little_Farms_Bistro__Katong_Point_Restaurant_2.webp"", ""original_url"": ""https://littlefarmscafe.com/pages/promotions"", ""source_credit"": ""littlefarmscafe""}]",103.9046,1.306922,TRUE,Central Region,Marine Parade,Kids dine free,bistro
291,Open Farm Community Urban Farm and Restaurant,Open Farm Community,Fresh food from farm to table,"Open Farm Community is a unique urban farm and restaurant that offers a variety of experiences. It features a working farm where visitors can learn about sustainable agriculture, as well as a restaurant that serves dishes made with fresh, locally-sourced ingredients. The venue is suitable for families and individuals interested in experiencing farm-to-table dining and learning about urban farming. It also hosts garden weddings and corporate events, providing a unique and natural setting for celebrations and gatherings. The farm aims to connect people with nature and promote sustainable living through its various offerings.",https://www.openfarmcommunity.com/,activity,https://www.openfarmcommunity.com/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,Mon - Sun: 11am - 3:30pm & 6pm - 11pm,1970-01-01 0:00:00,2099-12-31 23:59:00,Open Farm Community,"130E Minden Rd, Singapore 248819",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Open_Farm_Community_Urban_Farm_and_Restaurant_1.webp"", ""filename"": ""Open_Farm_Community_Urban_Farm_and_Restaurant_1.webp"", ""original_url"": ""https://www.openfarmcommunity.com/gallery-spaces"", ""source_credit"": ""openfarmcommunity""}, {""local_path"": ""events_output/event_1/images/user_uploads/Open_Farm_Community_Urban_Farm_and_Restaurant_2.webp"", ""filename"": ""Open_Farm_Community_Urban_Farm_and_Restaurant_2.webp"", ""original_url"": ""https://www.openfarmcommunity.com/gallery-spaces"", ""source_credit"": ""openfarmcommunity""}, {""local_path"": ""events_output/event_1/images/user_uploads/Open_Farm_Community_Urban_Farm_and_Restaurant_3.webp"", ""filename"": ""Open_Farm_Community_Urban_Farm_and_Restaurant_3.webp"", ""original_url"": ""https://www.openfarmcommunity.com/gallery-spaces"", ""source_credit"": ""openfarmcommunity""}, {""local_path"": ""events_output/event_1/images/user_uploads/Open_Farm_Community_Urban_Farm_and_Restaurant_4.webp"", ""filename"": ""Open_Farm_Community_Urban_Farm_and_Restaurant_4.webp"", ""original_url"": ""https://www.openfarmcommunity.com/gallery-spaces"", ""source_credit"": ""openfarmcommunity""}, {""url"": ""https://images.squarespace-cdn.com/content/v1/5f0bbcc3a47d231c00d5636d/2394715d-5d5d-4f39-8eda-864e6c8d6b08/open-farm-community-restaurant-01.jpg"", ""source_credit"": ""Open Farm Community""}]",103.8156,1.30583,TRUE,Central Region,Tanglin,Play area,"farm, nature, farm to table, fresh"
292,Beauty in The Pot Hotpot Experience,Paradise Group,Nourishing soup bases with rich flavours and benefits.,"Beauty in The Pot offers a hotpot experience inspired by the culture of food for health. The restaurant provides nourishing soup bases that promise rich flavours coupled with abundant benefits. It's a family-friendly dining experience where everyone can enjoy a comforting and healthy meal together. The hotpot ingredients are fresh and of high quality, ensuring a delightful culinary experience for all ages. The ambiance is designed to be inviting and relaxing, making it a perfect spot for family gatherings and celebrations. The restaurant caters to various dietary preferences and offers a range of options to suit different tastes.",https://www.paradisegp.com/beauty-in-the-pot/,activity,https://www.paradisegp.com/beauty-in-the-pot/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Jewel & NEX: 11:30am - 3am, Centrepoint: 11:30am - 6am, Starvista: 11:30am - 10:30pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Beauty in The Pot @ NEX,"23 Serangoon Central, #02-01, Singapore 556083",Kids-friendly dining,"[{""url"": ""https://www.paradisegp.com/wp-content/uploads/2023/09/img-bitp-food2-1.jpg"", ""source_credit"": ""Paradise Group""}]",103.8719,1.35093,TRUE,North-East Region,Serangoon,Play area,"hotpot, steamboat"
293,Tiong Bahru Bakery Safari – Dempsey Hill Get Back,Tiong Bahru Bakery,Get back to nature at Tiong Bahru Bakery Safari!,"Tiong Bahru Bakery Safari is located opposite the Singapore Botanical Gardens and within walking distance of Tanglin Mall and Dempsey Hill. The cafe is open daily with free car parking and a children’s playground. Tiong Bahru Bakery Safari was awarded Best Family-Friendly Restaurant for Love Local Awards 2024! There is an outdoor playground, jungle greenery to explore and an edible garden to get busy in. You can tuck into a menu packed with healthy dishes made from fruits and herbs harvested straight from the on-site garden. Tiong Bahru Bakery Safari is also pet friendly.",https://www.tiongbahrubakery.com/promotions/tiong-bahru-bakery-safari-dempsey-hill/,activity,https://www.tiongbahrubakery.com/promotions/tiong-bahru-bakery-safari-dempsey-hill/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Available daily, 8am - 6pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Tiong Bahru Bakery Safari,"130E Minden Rd, Singapore 248819",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Tiong_Bahru_Bakery_Safari___Dempsey_Hill_Get_Back_1.jpg"", ""filename"": ""Tiong_Bahru_Bakery_Safari___Dempsey_Hill_Get_Back_1.jpg"", ""original_url"": ""https://tiongbahrubakery.com/"", ""source_credit"": ""tiongbahrubakery""}, {""local_path"": ""events_output/event_1/images/user_uploads/Tiong_Bahru_Bakery_Safari___Dempsey_Hill_Get_Back_2.jpg"", ""filename"": ""Tiong_Bahru_Bakery_Safari___Dempsey_Hill_Get_Back_2.jpg"", ""original_url"": ""https://tiongbahrubakery.com/"", ""source_credit"": ""tiongbahrubakery""}, {""local_path"": ""events_output/event_1/images/user_uploads/Tiong_Bahru_Bakery_Safari___Dempsey_Hill_Get_Back_3.jpg"", ""filename"": ""Tiong_Bahru_Bakery_Safari___Dempsey_Hill_Get_Back_3.jpg"", ""original_url"": ""https://tiongbahrubakery.com/"", ""source_credit"": ""tiongbahrubakery""}]",103.8157,1.305755,TRUE,Central Region,Tanglin,Play area,"pastry, bakery, baked"
294,Café Melba: A Community Hub for Families & Friends,Café Melba,Lifestyle café with family-friendly vibe and spacious areas.,"Café Melba is a lifestyle café in Singapore, inspired by the vibrant influences of Melbourne and Asia. We blend casual dining with a family-friendly vibe, offering quality coffee, fresh pizzas, sandwiches, and select Asian dishes in a relaxed setting with spacious outdoor areas. As a hub for families, friends, and community events, we combine Eastern and Western traditions to create inclusive, memorable experiences, striving to be a trendsetter in Singapore’s café scene. Café Melba is a lifestyle café in Singapore, inspired by the vibrant influences of Melbourne and Asia. We blend casual dining with a family-friendly vibe, offering quality coffee, fresh pizzas, sandwiches, and select Asian dishes in a relaxed setting with spacious outdoor areas. As a hub for families, friends, and community events, we combine Eastern and Western traditions to create inclusive, memorable experiences, striving to be a trendsetter in Singapore’s café scene.",https://www.cafemelba.com.sg/,activity,https://www.cafemelba.com.sg/,TRUE,From $5,Varies according to menu item. Kids dine free on Monday.,,,,Suitable for all ages,0,99,Available daily,"Available daily, 9am-9pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Café Melba,"90 Goodman Rd, #01-56 Block N Goodman Arts Centre, Singapore 439053",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Caf__Melba__A_Community_Hub_for_Families___Friends_1.webp"", ""filename"": ""Caf__Melba__A_Community_Hub_for_Families___Friends_1.webp"", ""original_url"": ""https://www.cafemelba.com.sg/"", ""source_credit"": ""cafemelba""}, {""local_path"": ""events_output/event_1/images/user_uploads/Caf__Melba__A_Community_Hub_for_Families___Friends_2.webp"", ""filename"": ""Caf__Melba__A_Community_Hub_for_Families___Friends_2.webp"", ""original_url"": ""https://www.cafemelba.com.sg/"", ""source_credit"": ""cafemelba""}, {""local_path"": ""events_output/event_1/images/user_uploads/Caf__Melba__A_Community_Hub_for_Families___Friends_3.webp"", ""filename"": ""Caf__Melba__A_Community_Hub_for_Families___Friends_3.webp"", ""original_url"": ""https://www.cafemelba.com.sg/"", ""source_credit"": ""cafemelba""}]",103.8849,1.303352,TRUE,Central Region,Marine Parade,"Play area, Kids dine free",
295,Cafe Melba: A Family-Friendly Dining Experience,Cafe Melba,"Quality dining, inclusivity, community, family-friendly.","Cafe Melba values quality in every aspect, from ingredients to service, ensuring a memorable dining experience. We celebrate diversity and strive to create a welcoming environment where everyone feels valued. We aim to be an active participant in our community, hosting events and activities that bring people together and foster meaningful connections. We cultivate a relaxed and enjoyable atmosphere for families, ensuring that guests of all ages can feel at home and enjoy their time with us. Our goal is to provide a space where families can create lasting memories while enjoying delicious food and drinks in a comfortable setting.",https://www.cafemelba.com.sg/,activity,https://www.cafemelba.com.sg/,TRUE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Mon - Thu: 8am - 9pm, Fri - Sun/PH: 8am-10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Cafe Melba,"90 Goodman Rd, #01-56 Block N Goodman Arts Centre, Singapore 439053",Kids-friendly dining,"[{""local_path"": ""events_output/event_2/images/user_uploads/Cafe_Melba__A_Family_Friendly_Dining_Experience_1.webp"", ""filename"": ""Cafe_Melba__A_Family_Friendly_Dining_Experience_1.webp"", ""original_url"": ""https://www.cafemelba.com.sg/"", ""source_credit"": ""cafemelba""}, {""local_path"": ""events_output/event_2/images/user_uploads/Cafe_Melba__A_Family_Friendly_Dining_Experience_2.webp"", ""filename"": ""Cafe_Melba__A_Family_Friendly_Dining_Experience_2.webp"", ""original_url"": ""https://www.cafemelba.com.sg/"", ""source_credit"": ""cafemelba""}, {""local_path"": ""events_output/event_2/images/user_uploads/Cafe_Melba__A_Family_Friendly_Dining_Experience_3.webp"", ""filename"": ""Cafe_Melba__A_Family_Friendly_Dining_Experience_3.webp"", ""original_url"": ""https://www.cafemelba.com.sg/"", ""source_credit"": ""cafemelba""}]",103.8849,1.303352,TRUE,Central Region,Marine Parade,"Play area, Kids dine free",
296,La Nonna,La Nonna,Kids eat free with each accompanying adult purchase.,"Enjoy a family meal at La Nonna where kids can dine for free every Sunday. With each accompanying adult meal purchase, children can choose either an 8-inch pizza or a small pasta dish from the kids' menu. This promotion is perfect for families looking to enjoy a delicious Italian meal together in a relaxed and welcoming atmosphere. La Nonna offers a variety of pasta and pizza options, ensuring there's something for everyone to enjoy. This offer is available at all La Nonna outlets.",https://lanonna.sg/kidsdinefree,event,https://lanonna.sg/kidsdinefree,TRUE,From $5,Varies according to menu item. Kids dine free on Sundays.,,,,Suitable for all ages,0,99,Available daily,"Weekdays: 11:30am - 2:30pm & 5:30pm - 8pm, Weekends/PH: 11:30am - 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,La Nonna,"26/26B Lor Mambong, Singapore 277685",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/La_Nonna_1.webp"", ""filename"": ""La_Nonna_1.webp"", ""original_url"": ""https://images.squarespace-cdn.com/content/v1/646edcbd40c4d07c1a46546e/de9c89c6-7f4e-41fb-9a9a-c0be8b725d92/La+Nonna+HV+Interior+Edited+2000+x+1335px.jpg"", ""source_credit"": ""lanonna""}, {""local_path"": ""events_output/event_1/images/user_uploads/La_Nonna_2.webp"", ""filename"": ""La_Nonna_2.webp"", ""original_url"": ""https://lanonna.sg/promotions"", ""source_credit"": ""lanonna""}]",103.7949,1.311682,TRUE,Central Region,Queenstown,Kids dine free,"Italian, pasta, pizza"
297,The Coastal Settlement: Rustic Charm Gatherings,The Coastal Settlement,Rustic charm for intimate gatherings and special events.,"The Coastal Settlement offers a unique rustic charm perfect for intimate gatherings and special events. The venue provides a serene environment with indoor and outdoor spaces suitable for various occasions. It's an ideal location for families looking to celebrate milestones or enjoy a relaxed outing. The venue features vintage decor and lush greenery, creating a memorable experience for all attendees. The space is versatile and can accommodate both small and large groups, ensuring a comfortable and enjoyable setting for any event. The Coastal Settlement aims to provide a welcoming atmosphere for families and friends to come together and create lasting memories.",https://www.thecoastalsettlement.com/,event,https://www.thecoastalsettlement.com/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Weekdays: 10.30am - 11pm, Sat & Public Holiday: 8.30am - 11pm, Sun: 8.30am - 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,The Coastal Settlement,"200 Netheravon Rd, Singapore 508529",Kids-friendly dining,"[{""url"": ""https://static.wixstatic.com/media/497a81_93e16de56c464401b5eb7341926be1f0~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/497a81_93e16de56c464401b5eb7341926be1f0~mv2.jpg"", ""source_credit"": ""The Coastal Settlement""}, {""url"": ""https://static.wixstatic.com/media/497a81_2bd4f96ffa1b497692ffdee32de43aac~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/497a81_2bd4f96ffa1b497692ffdee32de43aac~mv2.jpg"", ""source_credit"": ""The Coastal Settlement""}]",103.9778,1.38899,TRUE,East Region,Changi,,"nature, casual"
298,The Pantry Dempsey: Family-Friendly Dining Experience,Como Dempsey,Enjoy family meals at Dempsey with kids play area.,"The Pantry offers a relaxed and family-friendly dining experience with a menu featuring a variety of comfort foods and healthy options. The restaurant provides a casual atmosphere, perfect for families with young children. The menu includes dishes suitable for different dietary needs and preferences, ensuring a pleasant experience for everyone. The ambiance is warm and inviting, making it an ideal spot for a casual family meal. The restaurant is known for its use of fresh, locally sourced ingredients, providing a delicious and wholesome dining experience. The setting is both comfortable and stylish, creating a welcoming environment for all ages.",https://www.comodempsey.sg/restaurant/at-feast,activity,https://www.comodempsey.sg/restaurant/thepantry,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily (except Mon),"Tue – Thu: 8.30am - 7pm, Fri: 8.30am - 8.30pm, Sat: 9am - 8.30pm, Sun/PH: 9am - 7pm",1970-01-01 0:00:00,2099-12-31 23:59:00,The Pantry,"16A Dempsey Rd, Singapore 247695",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/The_Pantry_Dempsey__Family_Friendly_Dining_Experience_1.jpg"", ""filename"": ""The_Pantry_Dempsey__Family_Friendly_Dining_Experience_1.jpg"", ""original_url"": ""https://www.comodempsey.sg/restaurant/thepantry"", ""source_credit"": ""comodempsey""}, {""local_path"": ""events_output/event_1/images/user_uploads/The_Pantry_Dempsey__Family_Friendly_Dining_Experience_2.jpg"", ""filename"": ""The_Pantry_Dempsey__Family_Friendly_Dining_Experience_2.jpg"", ""original_url"": """", ""source_credit"": ""swanli""}]",103.8111,1.305267,TRUE,Central Region,Tanglin,Play area,"dempsey, treehouse"
